"","year","month","date_of_month","day_of_week","births"
"117",2000,4,26,3,12245
"118",2000,4,27,4,12235
"119",2000,4,28,5,11989
"120",2000,4,29,6,8703
"121",2000,4,30,7,7641
"122",2000,5,1,1,11621
"123",2000,5,2,2,12934
"124",2000,5,3,3,12259
"125",2000,5,4,4,12434
"126",2000,5,5,5,12539
"127",2000,5,6,6,8814
"128",2000,5,7,7,7797
"129",2000,5,8,1,11604
"130",2000,5,9,2,12744
"131",2000,5,10,3,12607
"132",2000,5,11,4,12442
"133",2000,5,12,5,12132
"134",2000,5,13,6,8747
"135",2000,5,14,7,7617
"136",2000,5,15,1,11587
"137",2000,5,16,2,12898
"138",2000,5,17,3,12729
"139",2000,5,18,4,12580
"140",2000,5,19,5,12174
"141",2000,5,20,6,8673
"142",2000,5,21,7,7887
"143",2000,5,22,1,11582
"144",2000,5,23,2,13097
"145",2000,5,24,3,12669
"146",2000,5,25,4,13026
"147",2000,5,26,5,12726
"148",2000,5,27,6,8991
"149",2000,5,28,7,7873
"150",2000,5,29,1,8272
"151",2000,5,30,2,11954
"152",2000,5,31,3,12941
"153",2000,6,1,4,13363
"154",2000,6,2,5,12695
"155",2000,6,3,6,8940
"156",2000,6,4,7,7983
"157",2000,6,5,1,11647
"158",2000,6,6,2,12765
"159",2000,6,7,3,12474
"160",2000,6,8,4,12751
"161",2000,6,9,5,12504
"162",2000,6,10,6,9134
"163",2000,6,11,7,8116
"164",2000,6,12,1,11848
"165",2000,6,13,2,12683
"166",2000,6,14,3,12849
"167",2000,6,15,4,12798
"168",2000,6,16,5,12727
"169",2000,6,17,6,9143
"170",2000,6,18,7,8162
"171",2000,6,19,1,11649
"172",2000,6,20,2,13017
"173",2000,6,21,3,12729
"174",2000,6,22,4,12809
"175",2000,6,23,5,12603
"176",2000,6,24,6,9094
"177",2000,6,25,7,8178
"178",2000,6,26,1,12164
"179",2000,6,27,2,13354
"180",2000,6,28,3,13033
"181",2000,6,29,4,13462
"182",2000,6,30,5,13225
"183",2000,7,1,6,9376
"184",2000,7,2,7,8100
"185",2000,7,3,1,11345
"186",2000,7,4,2,9550
"187",2000,7,5,3,12346
"188",2000,7,6,4,13853
"189",2000,7,7,5,13658
"190",2000,7,8,6,9631
"191",2000,7,9,7,8586
"192",2000,7,10,1,12420
"193",2000,7,11,2,13584
"194",2000,7,12,3,12827
"195",2000,7,13,4,12980
"196",2000,7,14,5,13230
"197",2000,7,15,6,9627
"198",2000,7,16,7,8423
"199",2000,7,17,1,12053
"200",2000,7,18,2,13663
"201",2000,7,19,3,13001
"202",2000,7,20,4,13173
"203",2000,7,21,5,13027
"204",2000,7,22,6,9463
"205",2000,7,23,7,8166
"206",2000,7,24,1,12128
"207",2000,7,25,2,13176
"208",2000,7,26,3,12931
"209",2000,7,27,4,13155
"210",2000,7,28,5,12890
"211",2000,7,29,6,9465
"212",2000,7,30,7,8444
"213",2000,7,31,1,11860
"214",2000,8,1,2,13356
"215",2000,8,2,3,12835
"216",2000,8,3,4,13092
"217",2000,8,4,5,12940
"218",2000,8,5,6,9398
"219",2000,8,6,7,8350
"220",2000,8,7,1,11864
"221",2000,8,8,2,13693
"222",2000,8,9,3,13170
"223",2000,8,10,4,12953
"224",2000,8,11,5,12729
"225",2000,8,12,6,9305
"226",2000,8,13,7,8313
"227",2000,8,14,1,11927
"228",2000,8,15,2,13374
"229",2000,8,16,3,13174
"230",2000,8,17,4,13099
"231",2000,8,18,5,13124
"232",2000,8,19,6,9276
"233",2000,8,20,7,8346
"234",2000,8,21,1,12003
"235",2000,8,22,2,13406
"236",2000,8,23,3,12929
"237",2000,8,24,4,13021
"238",2000,8,25,5,12926
"239",2000,8,26,6,9341
"240",2000,8,27,7,8240
"241",2000,8,28,1,12074
"242",2000,8,29,2,13237
"243",2000,8,30,3,13111
"244",2000,8,31,4,13287
"245",2000,9,1,5,13145
"246",2000,9,2,6,9265
"247",2000,9,3,7,8248
"248",2000,9,4,1,8603
"249",2000,9,5,2,12200
"250",2000,9,6,3,13917
"251",2000,9,7,4,13512
"252",2000,9,8,5,13487
"253",2000,9,9,6,9860
"254",2000,9,10,7,8552
"255",2000,9,11,1,12405
"256",2000,9,12,2,13649
"257",2000,9,13,3,13299
"258",2000,9,14,4,13739
"259",2000,9,15,5,13552
"260",2000,9,16,6,9780
"261",2000,9,17,7,8683
"262",2000,9,18,1,12554
"263",2000,9,19,2,13850
"264",2000,9,20,3,13775
"265",2000,9,21,4,13350
"266",2000,9,22,5,13189
"267",2000,9,23,6,9494
"268",2000,9,24,7,8539
"269",2000,9,25,1,12432
"270",2000,9,26,2,13540
"271",2000,9,27,3,13467
"272",2000,9,28,4,13515
"273",2000,9,29,5,13045
"274",2000,9,30,6,9335
"275",2000,10,1,7,8453
"276",2000,10,2,1,12223
"277",2000,10,3,2,13245
"278",2000,10,4,3,13154
"279",2000,10,5,4,13288
"280",2000,10,6,5,12774
"281",2000,10,7,6,9131
"282",2000,10,8,7,8119
"283",2000,10,9,1,11343
"284",2000,10,10,2,13124
"285",2000,10,11,3,12907
"286",2000,10,12,4,13038
"287",2000,10,13,5,11723
"288",2000,10,14,6,9163
"289",2000,10,15,7,8156
"290",2000,10,16,1,12001
"291",2000,10,17,2,13106
"292",2000,10,18,3,12816
"293",2000,10,19,4,12502
"294",2000,10,20,5,12471
"295",2000,10,21,6,8956
"296",2000,10,22,7,7938
"297",2000,10,23,1,11810
"298",2000,10,24,2,12995
"299",2000,10,25,3,12780
"300",2000,10,26,4,12787
"301",2000,10,27,5,12333
"302",2000,10,28,6,8978
"303",2000,10,29,7,8124
"304",2000,10,30,1,11558
"305",2000,10,31,2,11372
"306",2000,11,1,3,12927
"307",2000,11,2,4,13066
"308",2000,11,3,5,12630
"309",2000,11,4,6,9084
"310",2000,11,5,7,8078
"311",2000,11,6,1,11862
"312",2000,11,7,2,12822
"313",2000,11,8,3,12829
"314",2000,11,9,4,12778
"315",2000,11,10,5,12554
"316",2000,11,11,6,9318
"317",2000,11,12,7,8070
"318",2000,11,13,1,11480
"319",2000,11,14,2,13153
"320",2000,11,15,3,12953
"321",2000,11,16,4,13061
"322",2000,11,17,5,12888
"323",2000,11,18,6,9137
"324",2000,11,19,7,8077
"325",2000,11,20,1,12974
"326",2000,11,21,2,13991
"327",2000,11,22,3,12420
"328",2000,11,23,4,8144
"329",2000,11,24,5,9805
"330",2000,11,25,6,8537
"331",2000,11,26,7,7950
"332",2000,11,27,1,12175
"333",2000,11,28,2,13799
"334",2000,11,29,3,13114
"335",2000,11,30,4,12818
"336",2000,12,1,5,12545
"337",2000,12,2,6,8914
"338",2000,12,3,7,7930
"339",2000,12,4,1,11501
"340",2000,12,5,2,12997
"341",2000,12,6,3,12697
"342",2000,12,7,4,12820
"343",2000,12,8,5,12548
"344",2000,12,9,6,8853
"345",2000,12,10,7,8022
"346",2000,12,11,1,11811
"347",2000,12,12,2,13627
"348",2000,12,13,3,12567
"349",2000,12,14,4,12640
"350",2000,12,15,5,12656
"351",2000,12,16,6,9184
"352",2000,12,17,7,8026
"353",2000,12,18,1,12590
"354",2000,12,19,2,13829
"355",2000,12,20,3,13762
"356",2000,12,21,4,13524
"357",2000,12,22,5,12248
"358",2000,12,23,6,8484
"359",2000,12,24,7,6971
"360",2000,12,25,1,6719
"361",2000,12,26,2,10395
"362",2000,12,27,3,13252
"363",2000,12,28,4,13900
"364",2000,12,29,5,13607
"365",2000,12,30,6,9405
"366",2000,12,31,7,7892
"367",2001,1,1,1,7663
"368",2001,1,2,2,10635
"369",2001,1,3,3,12449
"370",2001,1,4,4,12678
"371",2001,1,5,5,12647
"372",2001,1,6,6,9180
"373",2001,1,7,7,7883
"374",2001,1,8,1,11447
"375",2001,1,9,2,12386
"376",2001,1,10,3,12455
"377",2001,1,11,4,12433
"378",2001,1,12,5,12735
"379",2001,1,13,6,8836
"380",2001,1,14,7,7818
"381",2001,1,15,1,10926
"382",2001,1,16,2,12327
"383",2001,1,17,3,12344
"384",2001,1,18,4,12648
"385",2001,1,19,5,12339
"386",2001,1,20,6,8771
"387",2001,1,21,7,7850
"388",2001,1,22,1,11444
"389",2001,1,23,2,12446
"390",2001,1,24,3,12244
"391",2001,1,25,4,12570
"392",2001,1,26,5,12191
"393",2001,1,27,6,8795
"394",2001,1,28,7,7761
"395",2001,1,29,1,11513
"396",2001,1,30,2,12488
"397",2001,1,31,3,12477
"398",2001,2,1,4,12477
"399",2001,2,2,5,12470
"400",2001,2,3,6,8650
"401",2001,2,4,7,7716
"402",2001,2,5,1,11825
"403",2001,2,6,2,12536
"404",2001,2,7,3,12343
"405",2001,2,8,4,12390
"406",2001,2,9,5,12343
"407",2001,2,10,6,8791
"408",2001,2,11,7,7563
"409",2001,2,12,1,11670
"410",2001,2,13,2,12267
"411",2001,2,14,3,13191
"412",2001,2,15,4,12632
"413",2001,2,16,5,12355
"414",2001,2,17,6,8609
"415",2001,2,18,7,7555
"416",2001,2,19,1,10522
"417",2001,2,20,2,12373
"418",2001,2,21,3,12492
"419",2001,2,22,4,12482
"420",2001,2,23,5,12242
"421",2001,2,24,6,8656
"422",2001,2,25,7,7794
"423",2001,2,26,1,11332
"424",2001,2,27,2,12334
"425",2001,2,28,3,12209
"426",2001,3,1,4,12530
"427",2001,3,2,5,12383
"428",2001,3,3,6,8935
"429",2001,3,4,7,7799
"430",2001,3,5,1,11411
"431",2001,3,6,2,12339
"432",2001,3,7,3,12351
"433",2001,3,8,4,12440
"434",2001,3,9,5,12461
"435",2001,3,10,6,8807
"436",2001,3,11,7,7697
"437",2001,3,12,1,11595
"438",2001,3,13,2,12534
"439",2001,3,14,3,12578
"440",2001,3,15,4,12525
"441",2001,3,16,5,12460
"442",2001,3,17,6,9006
"443",2001,3,18,7,7526
"444",2001,3,19,1,11352
"445",2001,3,20,2,12868
"446",2001,3,21,3,12690
"447",2001,3,22,4,12472
"448",2001,3,23,5,12432
"449",2001,3,24,6,8830
"450",2001,3,25,7,7800
"451",2001,3,26,1,11290
"452",2001,3,27,2,12570
"453",2001,3,28,3,12469
"454",2001,3,29,4,12366
"455",2001,3,30,5,12059
"456",2001,3,31,6,8770
"457",2001,4,1,7,7212
"458",2001,4,2,1,11673
"459",2001,4,3,2,12864
"460",2001,4,4,3,12655
"461",2001,4,5,4,12438
"462",2001,4,6,5,12407
"463",2001,4,7,6,8755
"464",2001,4,8,7,7718
"465",2001,4,9,1,11617
"466",2001,4,10,2,13031
"467",2001,4,11,3,12912
"468",2001,4,12,4,12733
"469",2001,4,13,5,10881
"470",2001,4,14,6,8262
"471",2001,4,15,7,7230
"472",2001,4,16,1,11220
"473",2001,4,17,2,12867
"474",2001,4,18,3,12381
"475",2001,4,19,4,12257
"476",2001,4,20,5,12296
"477",2001,4,21,6,8849
"478",2001,4,22,7,7758
"479",2001,4,23,1,11672
"480",2001,4,24,2,12981
"481",2001,4,25,3,12728
"482",2001,4,26,4,12560
"483",2001,4,27,5,12335
"484",2001,4,28,6,8574
"485",2001,4,29,7,7602
"486",2001,4,30,1,11416
"487",2001,5,1,2,13037
"488",2001,5,2,3,12542
"489",2001,5,3,4,12596
"490",2001,5,4,5,12276
"491",2001,5,5,6,8795
"492",2001,5,6,7,8001
"493",2001,5,7,1,11635
"494",2001,5,8,2,13032
"495",2001,5,9,3,12477
"496",2001,5,10,4,12632
"497",2001,5,11,5,12296
"498",2001,5,12,6,8692
"499",2001,5,13,7,7479
"500",2001,5,14,1,11577
"501",2001,5,15,2,13124
"502",2001,5,16,3,12625
"503",2001,5,17,4,12630
"504",2001,5,18,5,12313
"505",2001,5,19,6,8803
"506",2001,5,20,7,7732
"507",2001,5,21,1,11680
"508",2001,5,22,2,13047
"509",2001,5,23,3,12936
"510",2001,5,24,4,13179
"511",2001,5,25,5,12722
"512",2001,5,26,6,8911
"513",2001,5,27,7,7529
"514",2001,5,28,1,7993
"515",2001,5,29,2,12013
"516",2001,5,30,3,13334
"517",2001,5,31,4,13051
"518",2001,6,1,5,12677
"519",2001,6,2,6,8920
"520",2001,6,3,7,7887
"521",2001,6,4,1,11500
"522",2001,6,5,2,12683
"523",2001,6,6,3,12804
"524",2001,6,7,4,12566
"525",2001,6,8,5,12451
"526",2001,6,9,6,8756
"527",2001,6,10,7,7674
"528",2001,6,11,1,11776
"529",2001,6,12,2,13218
"530",2001,6,13,3,12342
"531",2001,6,14,4,12655
"532",2001,6,15,5,12394
"533",2001,6,16,6,8780
"534",2001,6,17,7,7722
"535",2001,6,18,1,11756
"536",2001,6,19,2,12785
"537",2001,6,20,3,12704
"538",2001,6,21,4,12615
"539",2001,6,22,5,12299
"540",2001,6,23,6,8452
"541",2001,6,24,7,7639
"542",2001,6,25,1,11575
"543",2001,6,26,2,12939
"544",2001,6,27,3,12809
"545",2001,6,28,4,13059
"546",2001,6,29,5,12922
"547",2001,6,30,6,9247
"548",2001,7,1,7,8145
"549",2001,7,2,1,12390
"550",2001,7,3,2,13364
"551",2001,7,4,3,9608
"552",2001,7,5,4,12531
"553",2001,7,6,5,13151
"554",2001,7,7,6,9544
"555",2001,7,8,7,8249
"556",2001,7,9,1,12036
"557",2001,7,10,2,13614
"558",2001,7,11,3,13026
"559",2001,7,12,4,13188
"560",2001,7,13,5,12187
"561",2001,7,14,6,9269
"562",2001,7,15,7,8047
"563",2001,7,16,1,12383
"564",2001,7,17,2,13657
"565",2001,7,18,3,13241
"566",2001,7,19,4,13293
"567",2001,7,20,5,12950
"568",2001,7,21,6,9410
"569",2001,7,22,7,8116
"570",2001,7,23,1,12099
"571",2001,7,24,2,13532
"572",2001,7,25,3,12988
"573",2001,7,26,4,13022
"574",2001,7,27,5,12677
"575",2001,7,28,6,9102
"576",2001,7,29,7,7892
"577",2001,7,30,1,12150
"578",2001,7,31,2,13218
"579",2001,8,1,3,12960
"580",2001,8,2,4,13097
"581",2001,8,3,5,12859
"582",2001,8,4,6,9143
"583",2001,8,5,7,8062
"584",2001,8,6,1,12008
"585",2001,8,7,2,13488
"586",2001,8,8,3,13185
"587",2001,8,9,4,13339
"588",2001,8,10,5,13094
"589",2001,8,11,6,9275
"590",2001,8,12,7,8261
"591",2001,8,13,1,11682
"592",2001,8,14,2,13325
"593",2001,8,15,3,13332
"594",2001,8,16,4,13372
"595",2001,8,17,5,13102
"596",2001,8,18,6,9294
"597",2001,8,19,7,7945
"598",2001,8,20,1,12313
"599",2001,8,21,2,13590
"600",2001,8,22,3,13146
"601",2001,8,23,4,13158
"602",2001,8,24,5,12996
"603",2001,8,25,6,9229
"604",2001,8,26,7,8115
"605",2001,8,27,1,12080
"606",2001,8,28,2,13792
"607",2001,8,29,3,13160
"608",2001,8,30,4,13520
"609",2001,8,31,5,13461
"610",2001,9,1,6,9248
"611",2001,9,2,7,8239
"612",2001,9,3,1,8115
"613",2001,9,4,2,12501
"614",2001,9,5,3,14055
"615",2001,9,6,4,13925
"616",2001,9,7,5,13721
"617",2001,9,8,6,9344
"618",2001,9,9,7,8347
"619",2001,9,10,1,12459
"620",2001,9,11,2,13590
"621",2001,9,12,3,13149
"622",2001,9,13,4,13186
"623",2001,9,14,5,13444
"624",2001,9,15,6,9662
"625",2001,9,16,7,8319
"626",2001,9,17,1,12664
"627",2001,9,18,2,13526
"628",2001,9,19,3,13575
"629",2001,9,20,4,13750
"630",2001,9,21,5,13341
"631",2001,9,22,6,9607
"632",2001,9,23,7,8495
"633",2001,9,24,1,12564
"634",2001,9,25,2,14063
"635",2001,9,26,3,13441
"636",2001,9,27,4,13199
"637",2001,9,28,5,13174
"638",2001,9,29,6,9243
"639",2001,9,30,7,8042
"640",2001,10,1,1,12425
"641",2001,10,2,2,13523
"642",2001,10,3,3,13056
"643",2001,10,4,4,13182
"644",2001,10,5,5,12851
"645",2001,10,6,6,8872
"646",2001,10,7,7,7744
"647",2001,10,8,1,11531
"648",2001,10,9,2,12886
"649",2001,10,10,3,12858
"650",2001,10,11,4,12568
"651",2001,10,12,5,12676
"652",2001,10,13,6,8659
"653",2001,10,14,7,7753
"654",2001,10,15,1,11649
"655",2001,10,16,2,12770
"656",2001,10,17,3,12599
"657",2001,10,18,4,12579
"658",2001,10,19,5,12359
"659",2001,10,20,6,8747
"660",2001,10,21,7,7506
"661",2001,10,22,1,11705
"662",2001,10,23,2,12896
"663",2001,10,24,3,12676
"664",2001,10,25,4,12516
"665",2001,10,26,5,12296
"666",2001,10,27,6,8458
"667",2001,10,28,7,7676
"668",2001,10,29,1,11389
"669",2001,10,30,2,12534
"670",2001,10,31,3,10913
"671",2001,11,1,4,12879
"672",2001,11,2,5,12374
"673",2001,11,3,6,8572
"674",2001,11,4,7,7533
"675",2001,11,5,1,11668
"676",2001,11,6,2,12662
"677",2001,11,7,3,12419
"678",2001,11,8,4,12519
"679",2001,11,9,5,12416
"680",2001,11,10,6,8665
"681",2001,11,11,7,7599
"682",2001,11,12,1,11670
"683",2001,11,13,2,12382
"684",2001,11,14,3,12602
"685",2001,11,15,4,12936
"686",2001,11,16,5,12979
"687",2001,11,17,6,8774
"688",2001,11,18,7,7495
"689",2001,11,19,1,12709
"690",2001,11,20,2,13603
"691",2001,11,21,3,12167
"692",2001,11,22,4,7513
"693",2001,11,23,5,9594
"694",2001,11,24,6,8100
"695",2001,11,25,7,7456
"696",2001,11,26,1,11732
"697",2001,11,27,2,13249
"698",2001,11,28,3,12516
"699",2001,11,29,4,12474
"700",2001,11,30,5,12019
"701",2001,12,1,6,8255
"702",2001,12,2,7,7385
"703",2001,12,3,1,11548
"704",2001,12,4,2,12605
"705",2001,12,5,3,12609
"706",2001,12,6,4,12188
"707",2001,12,7,5,11693
"708",2001,12,8,6,8372
"709",2001,12,9,7,7498
"710",2001,12,10,1,11655
"711",2001,12,11,2,12798
"712",2001,12,12,3,12884
"713",2001,12,13,4,12230
"714",2001,12,14,5,12405
"715",2001,12,15,6,8615
"716",2001,12,16,7,7432
"717",2001,12,17,1,12392
"718",2001,12,18,2,13657
"719",2001,12,19,3,13404
"720",2001,12,20,4,13871
"721",2001,12,21,5,13530
"722",2001,12,22,6,9062
"723",2001,12,23,7,7245
"724",2001,12,24,1,7626
"725",2001,12,25,2,6603
"726",2001,12,26,3,11040
"727",2001,12,27,4,14151
"728",2001,12,28,5,14235
"729",2001,12,29,6,9563
"730",2001,12,30,7,7840
"731",2001,12,31,1,10272
"732",2002,1,1,2,7927
"733",2002,1,2,3,10723
"734",2002,1,3,4,12465
"735",2002,1,4,5,12671
"736",2002,1,5,6,8902
"737",2002,1,6,7,7647
"738",2002,1,7,1,11548
"739",2002,1,8,2,12515
"740",2002,1,9,3,11654
"741",2002,1,10,4,12596
"742",2002,1,11,5,12276
"743",2002,1,12,6,8591
"744",2002,1,13,7,7471
"745",2002,1,14,1,11530
"746",2002,1,15,2,12369
"747",2002,1,16,3,11996
"748",2002,1,17,4,12412
"749",2002,1,18,5,12251
"750",2002,1,19,6,8434
"751",2002,1,20,7,7462
"752",2002,1,21,1,10921
"753",2002,1,22,2,12361
"754",2002,1,23,3,12252
"755",2002,1,24,4,12549
"756",2002,1,25,5,12069
"757",2002,1,26,6,8530
"758",2002,1,27,7,7510
"759",2002,1,28,1,11354
"760",2002,1,29,2,12215
"761",2002,1,30,3,12146
"762",2002,1,31,4,12125
"763",2002,2,1,5,12130
"764",2002,2,2,6,9021
"765",2002,2,3,7,7442
"766",2002,2,4,1,11412
"767",2002,2,5,2,12488
"768",2002,2,6,3,12210
"769",2002,2,7,4,12418
"770",2002,2,8,5,12444
"771",2002,2,9,6,8706
"772",2002,2,10,7,7569
"773",2002,2,11,1,11547
"774",2002,2,12,2,12779
"775",2002,2,13,3,12069
"776",2002,2,14,4,13062
"777",2002,2,15,5,12548
"778",2002,2,16,6,8710
"779",2002,2,17,7,7484
"780",2002,2,18,1,10907
"781",2002,2,19,2,12262
"782",2002,2,20,3,12817
"783",2002,2,21,4,12384
"784",2002,2,22,5,12667
"785",2002,2,23,6,8639
"786",2002,2,24,7,7488
"787",2002,2,25,1,11547
"788",2002,2,26,2,12487
"789",2002,2,27,3,12303
"790",2002,2,28,4,12370
"791",2002,3,1,5,12388
"792",2002,3,2,6,8507
"793",2002,3,3,7,7624
"794",2002,3,4,1,11661
"795",2002,3,5,2,12678
"796",2002,3,6,3,12372
"797",2002,3,7,4,12525
"798",2002,3,8,5,12244
"799",2002,3,9,6,8606
"800",2002,3,10,7,7633
"801",2002,3,11,1,11197
"802",2002,3,12,2,12667
"803",2002,3,13,3,12031
"804",2002,3,14,4,12583
"805",2002,3,15,5,12472
"806",2002,3,16,6,8696
"807",2002,3,17,7,7680
"808",2002,3,18,1,11621
"809",2002,3,19,2,12674
"810",2002,3,20,3,12577
"811",2002,3,21,4,12502
"812",2002,3,22,5,12252
"813",2002,3,23,6,8569
"814",2002,3,24,7,7419
"815",2002,3,25,1,11507
"816",2002,3,26,2,12840
"817",2002,3,27,3,12568
"818",2002,3,28,4,12454
"819",2002,3,29,5,11449
"820",2002,3,30,6,8270
"821",2002,3,31,7,7083
"822",2002,4,1,1,10264
"823",2002,4,2,2,12884
"824",2002,4,3,3,12372
"825",2002,4,4,4,12262
"826",2002,4,5,5,12006
"827",2002,4,6,6,8301
"828",2002,4,7,7,7109
"829",2002,4,8,1,11706
"830",2002,4,9,2,12741
"831",2002,4,10,3,12418
"832",2002,4,11,4,12236
"833",2002,4,12,5,12272
"834",2002,4,13,6,8448
"835",2002,4,14,7,7578
"836",2002,4,15,1,11412
"837",2002,4,16,2,12847
"838",2002,4,17,3,12575
"839",2002,4,18,4,12490
"840",2002,4,19,5,12297
"841",2002,4,20,6,8224
"842",2002,4,21,7,7298
"843",2002,4,22,1,11576
"844",2002,4,23,2,12457
"845",2002,4,24,3,12297
"846",2002,4,25,4,12469
"847",2002,4,26,5,11917
"848",2002,4,27,6,8243
"849",2002,4,28,7,7502
"850",2002,4,29,1,11422
"851",2002,4,30,2,12666
"852",2002,5,1,3,12297
"853",2002,5,2,4,12405
"854",2002,5,3,5,12130
"855",2002,5,4,6,8215
"856",2002,5,5,7,7447
"857",2002,5,6,1,11362
"858",2002,5,7,2,12505
"859",2002,5,8,3,12334
"860",2002,5,9,4,12219
"861",2002,5,10,5,12329
"862",2002,5,11,6,8329
"863",2002,5,12,7,7487
"864",2002,5,13,1,11404
"865",2002,5,14,2,12909
"866",2002,5,15,3,12705
"867",2002,5,16,4,12609
"868",2002,5,17,5,12218
"869",2002,5,18,6,8528
"870",2002,5,19,7,7470
"871",2002,5,20,1,11788
"872",2002,5,21,2,12916
"873",2002,5,22,3,12670
"874",2002,5,23,4,13123
"875",2002,5,24,5,12775
"876",2002,5,25,6,8515
"877",2002,5,26,7,7282
"878",2002,5,27,1,7765
"879",2002,5,28,2,12148
"880",2002,5,29,3,13436
"881",2002,5,30,4,12963
"882",2002,5,31,5,12568
"883",2002,6,1,6,8547
"884",2002,6,2,7,7662
"885",2002,6,3,1,11433
"886",2002,6,4,2,12616
"887",2002,6,5,3,12663
"888",2002,6,6,4,12745
"889",2002,6,7,5,12280
"890",2002,6,8,6,8524
"891",2002,6,9,7,7485
"892",2002,6,10,1,11863
"893",2002,6,11,2,12713
"894",2002,6,12,3,12758
"895",2002,6,13,4,12457
"896",2002,6,14,5,12562
"897",2002,6,15,6,8708
"898",2002,6,16,7,7685
"899",2002,6,17,1,11738
"900",2002,6,18,2,13139
"901",2002,6,19,3,12598
"902",2002,6,20,4,12847
"903",2002,6,21,5,12377
"904",2002,6,22,6,8676
"905",2002,6,23,7,7661
"906",2002,6,24,1,11972
"907",2002,6,25,2,13425
"908",2002,6,26,3,13167
"909",2002,6,27,4,13310
"910",2002,6,28,5,12996
"911",2002,6,29,6,8994
"912",2002,6,30,7,7831
"913",2002,7,1,1,12584
"914",2002,7,2,2,14187
"915",2002,7,3,3,13626
"916",2002,7,4,4,9481
"917",2002,7,5,5,11326
"918",2002,7,6,6,8816
"919",2002,7,7,7,8080
"920",2002,7,8,1,12253
"921",2002,7,9,2,13814
"922",2002,7,10,3,13264
"923",2002,7,11,4,13215
"924",2002,7,12,5,12760
"925",2002,7,13,6,8896
"926",2002,7,14,7,7884
"927",2002,7,15,1,12370
"928",2002,7,16,2,13606
"929",2002,7,17,3,13396
"930",2002,7,18,4,13395
